Class 0, attribute 0, bin 0, P(bin | class) = 0.09
Class 5, attribute 6, bin 0, P(bin | class) = 0.00
Class 5, attribute 6, bin 1, P(bin | class) = 1.00
Class 5, attribute 6, bin 2, P(bin | class) = 0.00
Class 5, attribute 6, bin 3, P(bin | class) = 0.00
Class 5, attribute 6, bin 4, P(bin | class) = 0.00
Class 5, attribute 7, bin 0, P(bin | class) = 0.93
Class 5, attribute 7, bin 1, P(bin | class) = 0.07
Class 5, attribute 7, bin 2, P(bin | class) = 0.00
Class 5, attribute 7, bin 3, P(bin | class) = 0.00
Class 5, attribute 7, bin 4, P(bin | class) = 0.00
Class 6, attribute 0, bin 0, P(bin | class) = 0.23
Class 6, attribute 0, bin 1, P(bin | class) = 0.64
Class 6, attribute 0, bin 2, P(bin | class) = 0.14
Class 6, attribute 0, bin 3, P(bin | class) = 0.00
Class 6, attribute 0, bin 4, P(bin | class) = 0.00
Class 6, attribute 1, bin 0, P(bin | class) = 0.19
Class 6, attribute 1, bin 1, P(bin | class) = 0.74
Class 6, attribute 1, bin 2, P(bin | class) = 0.07
Class 6, attribute 1, bin 3, P(bin | class) = 0.00
Class 6, attribute 1, bin 4, P(bin | class) = 0.00
Class 6, attribute 2, bin 0, P(bin | class) = 0.00
Class 6, attribute 2, bin 1, P(bin | class) = 0.90
Class 6, attribute 2, bin 2, P(bin | class) = 0.09
Class 6, attribute 2, bin 3, P(bin | class) = 0.00
Class 6, attribute 2, bin 4, P(bin | class) = 0.00
Class 6, attribute 3, bin 0, P(bin | class) = 0.91
Class 6, attribute 3, bin 1, P(bin | class) = 0.06
Class 6, attribute 3, bin 2, P(bin | class) = 0.01
Class 6, attribute 3, bin 3, P(bin | class) = 0.00
Class 6, attribute 3, bin 4, P(bin | class) = 0.01
Class 6, attribute 4, bin 0, P(bin | class) = 0.00
Class 6, attribute 4, bin 1, P(bin | class) = 0.99
Class 6, attribute 4, bin 2, P(bin | class) = 0.00
Class 6, attribute 4, bin 3, P(bin | class) = 0.00
Class 6, attribute 4, bin 4, P(bin | class) = 0.01
Class 6, attribute 5, bin 0, P(bin | class) = 0.00
Class 6, attribute 5, bin 1, P(bin | class) = 0.00
Class 6, attribute 5, bin 2, P(bin | class) = 0.00
Class 6, attribute 5, bin 3, P(bin | class) = 0.00
Class 6, attribute 5, bin 4, P(bin | class) = 1.00
Class 6, attribute 6, bin 0, P(bin | class) = 0.06
Class 6, attribute 6, bin 1, P(bin | class) = 0.93
Class 6, attribute 6, bin 2, P(bin | class) = 0.01
Class 6, attribute 6, bin 3, P(bin | class) = 0.00
Class 6, attribute 6, bin 4, P(bin | class) = 0.00
Class 6, attribute 7, bin 0, P(bin | class) = 0.93
Class 6, attribute 7, bin 1, P(bin | class) = 0.05
Class 6, attribute 7, bin 2, P(bin | class) = 0.02
Class 6, attribute 7, bin 3, P(bin | class) = 0.00
Class 6, attribute 7, bin 4, P(bin | class) = 0.00
Class 7, attribute 0, bin 0, P(bin | class) = 0.00
Class 7, attribute 0, bin 1, P(bin | class) = 0.09
Class 7, attribute 0, bin 2, P(bin | class) = 0.59
Class 7, attribute 0, bin 3, P(bin | class) = 0.32
Class 7, attribute 0, bin 4, P(bin | class) = 0.00
Class 7, attribute 1, bin 0, P(bin | class) = 0.05
Class 7, attribute 1, bin 1, P(bin | class) = 0.09
Class 7, attribute 1, bin 2, P(bin | class) = 0.59
Class 7, attribute 1, bin 3, P(bin | class) = 0.27
Class 7, attribute 1, bin 4, P(bin | class) = 0.00
Class 7, attribute 2, bin 0, P(bin | class) = 0.05
Class 7, attribute 2, bin 1, P(bin | class) = 0.95
Class 7, attribute 2, bin 2, P(bin | class) = 0.00
Class 7, attribute 2, bin 3, P(bin | class) = 0.00
Class 7, attribute 2, bin 4, P(bin | class) = 0.00
Class 7, attribute 3, bin 0, P(bin | class) = 1.00
Class 7, attribute 3, bin 1, P(bin | class) = 0.00
Class 7, attribute 3, bin 2, P(bin | class) = 0.00
Class 7, attribute 3, bin 3, P(bin | class) = 0.00
Class 7, attribute 3, bin 4, P(bin | class) = 0.00
Class 7, attribute 4, bin 0, P(bin | class) = 0.00
Class 7, attribute 4, bin 1, P(bin | class) = 1.00
Class 7, attribute 4, bin 2, P(bin | class) = 0.00
Class 7, attribute 4, bin 3, P(bin | class) = 0.00
Class 7, attribute 4, bin 4, P(bin | class) = 0.00
Class 7, attribute 5, bin 0, P(bin | class) = 0.00
Class 7, attribute 5, bin 1, P(bin | class) = 0.00
Class 7, attribute 5, bin 2, P(bin | class) = 0.00
Class 7, attribute 5, bin 3, P(bin | class) = 0.00
Class 7, attribute 5, bin 4, P(bin | class) = 1.00
Class 7, attribute 6, bin 0, P(bin | class) = 0.23
Class 7, attribute 6, bin 1, P(bin | class) = 0.77
Class 7, attribute 6, bin 2, P(bin | class) = 0.00
Class 7, attribute 6, bin 3, P(bin | class) = 0.00
Class 7, attribute 6, bin 4, P(bin | class) = 0.00
Class 7, attribute 7, bin 0, P(bin | class) = 1.00
Class 7, attribute 7, bin 1, P(bin | class) = 0.00
Class 7, attribute 7, bin 2, P(bin | class) = 0.00
Class 7, attribute 7, bin 3, P(bin | class) = 0.00
Class 7, attribute 7, bin 4, P(bin | class) = 0.00
Class 8, attribute 0, bin 0, P(bin | class) = 0.12
Class 8, attribute 0, bin 1, P(bin | class) = 0.44
Class 8, attribute 0, bin 2, P(bin | class) = 0.38
Class 8, attribute 0, bin 3, P(bin | class) = 0.06
Class 8, attribute 0, bin 4, P(bin | class) = 0.00
Class 8, attribute 1, bin 0, P(bin | class) = 0.25
Class 8, attribute 1, bin 1, P(bin | class) = 0.31
Class 8, attribute 1, bin 2, P(bin | class) = 0.38
Class 8, attribute 1, bin 3, P(bin | class) = 0.06
Class 8, attribute 1, bin 4, P(bin | class) = 0.00
Class 8, attribute 2, bin 0, P(bin | class) = 0.12
Class 8, attribute 2, bin 1, P(bin | class) = 0.88
Class 8, attribute 2, bin 2, P(bin | class) = 0.00
Class 8, attribute 2, bin 3, P(bin | class) = 0.00
Class 8, attribute 2, bin 4, P(bin | class) = 0.00
Class 8, attribute 3, bin 0, P(bin | class) = 1.00
Class 8, attribute 3, bin 1, P(bin | class) = 0.00
Class 8, attribute 3, bin 2, P(bin | class) = 0.00
Class 8, attribute 3, bin 3, P(bin | class) = 0.00
Class 8, attribute 3, bin 4, P(bin | class) = 0.00
Class 8, attribute 4, bin 0, P(bin | class) = 0.00
Class 8, attribute 4, bin 1, P(bin | class) = 1.00
Class 8, attribute 4, bin 2, P(bin | class) = 0.00
Class 8, attribute 4, bin 3, P(bin | class) = 0.00
Class 8, attribute 4, bin 4, P(bin | class) = 0.00
Class 8, attribute 5, bin 0, P(bin | class) = 0.00
Class 8, attribute 5, bin 1, P(bin | class) = 0.00
Class 8, attribute 5, bin 2, P(bin | class) = 0.00
Class 8, attribute 5, bin 3, P(bin | class) = 0.00
Class 8, attribute 5, bin 4, P(bin | class) = 1.00
Class 8, attribute 6, bin 0, P(bin | class) = 0.06
Class 8, attribute 6, bin 1, P(bin | class) = 0.88
Class 8, attribute 6, bin 2, P(bin | class) = 0.06
Class 8, attribute 6, bin 3, P(bin | class) = 0.00
Class 8, attribute 6, bin 4, P(bin | class) = 0.00
Class 8, attribute 7, bin 0, P(bin | class) = 0.94
Class 8, attribute 7, bin 1, P(bin | class) = 0.06
Class 8, attribute 7, bin 2, P(bin | class) = 0.00
Class 8, attribute 7, bin 3, P(bin | class) = 0.00
Class 8, attribute 7, bin 4, P(bin | class) = 0.00
Class 9, attribute 0, bin 0, P(bin | class) = 0.00
Class 9, attribute 0, bin 1, P(bin | class) = 0.00
Class 9, attribute 0, bin 2, P(bin | class) = 0.75
Class 9, attribute 0, bin 3, P(bin | class) = 0.25
Class 9, attribute 0, bin 4, P(bin | class) = 0.00
Class 9, attribute 1, bin 0, P(bin | class) = 0.00
Class 9, attribute 1, bin 1, P(bin | class) = 0.25
Class 9, attribute 1, bin 2, P(bin | class) = 0.25
Class 9, attribute 1, bin 3, P(bin | class) = 0.50
Class 9, attribute 1, bin 4, P(bin | class) = 0.00
Class 9, attribute 2, bin 0, P(bin | class) = 0.25
Class 9, attribute 2, bin 1, P(bin | class) = 0.75
Class 9, attribute 2, bin 2, P(bin | class) = 0.00
Class 9, attribute 2, bin 3, P(bin | class) = 0.00
Class 9, attribute 2, bin 4, P(bin | class) = 0.00
Class 9, attribute 3, bin 0, P(bin | class) = 0.75
Class 9, attribute 3, bin 1, P(bin | class) = 0.25
Class 9, attribute 3, bin 2, P(bin | class) = 0.00
Class 9, attribute 3, bin 3, P(bin | class) = 0.00
Class 9, attribute 3, bin 4, P(bin | class) = 0.00
Class 9, attribute 4, bin 0, P(bin | class) = 0.00
Class 9, attribute 4, bin 1, P(bin | class) = 0.00
Class 9, attribute 4, bin 2, P(bin | class) = 0.00
Class 9, attribute 4, bin 3, P(bin | class) = 0.00
Class 9, attribute 4, bin 4, P(bin | class) = 1.00
Class 9, attribute 5, bin 0, P(bin | class) = 0.00
Class 9, attribute 5, bin 1, P(bin | class) = 0.00
Class 9, attribute 5, bin 2, P(bin | class) = 0.00
Class 9, attribute 5, bin 3, P(bin | class) = 0.00
Class 9, attribute 5, bin 4, P(bin | class) = 1.00
Class 9, attribute 6, bin 0, P(bin | class) = 0.00
Class 9, attribute 6, bin 1, P(bin | class) = 1.00
Class 9, attribute 6, bin 2, P(bin | class) = 0.00
Class 9, attribute 6, bin 3, P(bin | class) = 0.00
Class 9, attribute 6, bin 4, P(bin | class) = 0.00
Class 9, attribute 7, bin 0, P(bin | class) = 1.00
Class 9, attribute 7, bin 1, P(bin | class) = 0.00
Class 9, attribute 7, bin 2, P(bin | class) = 0.00
Class 9, attribute 7, bin 3, P(bin | class) = 0.00
Class 9, attribute 7, bin 4, P(bin | class) = 0.00
ID=    0, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=    1, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=    2, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=    3, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=    4, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=    5, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=    6, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=    7, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=    8, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=    9, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   10, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   11, predicted=  6, probability = 0.3315, true=  5, accuracy=0.00

ID=   12, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   13, predicted=  6, probability = 0.3315, true=  4, accuracy=0.00

ID=   14, predicted=  6, probability = 0.3315, true=  4, accuracy=0.00

ID=   15, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   16, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   17, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   18, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   19, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   20, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   21, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   22, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   23, predicted=  6, probability = 0.3315, true=  4, accuracy=0.00

ID=   24, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   25, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   26, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   27, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   28, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   29, predicted=  6, probability = 0.3315, true=  8, accuracy=0.00

ID=   30, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   31, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   32, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   33, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=   34, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   35, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   36, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   37, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   38, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   39, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   40, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   41, predicted=  6, probability = 0.3315, true=  8, accuracy=0.00

ID=   42, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=   43, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   44, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   45, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   46, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   47, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=   48, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=   49, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=   50, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   51, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   52, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   53, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   54, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=   55, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   56, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   57, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   58, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   59, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=   60, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   61, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=   62, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=   63, predicted=  6, probability = 0.3315, true=  7, accuracy=0.00

